Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,3,7,6,148
method1,Dev2,5,5,6,148
method1,Dev3,5,5,6,148
method1,Dev4,3,5,6,148
method1,Dev5,2,7,6,148
method2,Dev1,7,2,8,186
method2,Dev2,5,3,8,186
method2,Dev3,3,2,8,186
method2,Dev4,2,5,8,186
method2,Dev5,7,2,8,186
method3,Dev1,3,5,7,155
method3,Dev2,7,3,7,155
method3,Dev3,2,2,7,155
method3,Dev4,7,3,7,155
method3,Dev5,3,7,7,155
method4,Dev1,2,5,7,150
method4,Dev2,5,3,7,150
method4,Dev3,2,5,7,150
method4,Dev4,5,3,7,150
method4,Dev5,5,3,7,150
method5,Dev1,3,2,4,100
method5,Dev2,7,2,4,100
method5,Dev3,3,7,4,100
method5,Dev4,5,7,4,100
method5,Dev5,2,2,4,100
method6,Dev1,2,2,5,105
method6,Dev2,3,3,5,105
method6,Dev3,7,2,5,105
method6,Dev4,2,7,5,105
method6,Dev5,5,5,5,105
method7,Dev1,2,5,8,189
method7,Dev2,3,3,8,189
method7,Dev3,3,7,8,189
method7,Dev4,3,3,8,189
method7,Dev5,2,3,8,189
method8,Dev1,3,7,10,229
method8,Dev2,2,2,10,229
method8,Dev3,3,3,10,229
method8,Dev4,3,5,10,229
method8,Dev5,5,5,10,229
method9,Dev1,3,2,7,162
method9,Dev2,5,2,7,162
method9,Dev3,7,5,7,162
method9,Dev4,5,3,7,162
method9,Dev5,2,5,7,162
method10,Dev1,7,7,4,102
method10,Dev2,5,7,4,102
method10,Dev3,2,7,4,102
method10,Dev4,7,2,4,102
method10,Dev5,3,7,4,102
