Method,Developer,Maintainability,Readability,Complexity,WCC
method1,Dev1,7,7,5,148
method1,Dev2,7,4,6,148
method1,Dev3,7,7,4,148
method1,Dev4,8,5,6,148
method1,Dev5,6,4,6,148
method2,Dev1,3,2,8,186
method2,Dev2,5,4,7,186
method2,Dev3,6,6,9,186
method2,Dev4,3,4,6,186
method2,Dev5,3,2,8,186
method3,Dev1,7,8,3,155
method3,Dev2,5,5,5,155
method3,Dev3,5,6,6,155
method3,Dev4,7,4,2,155
method3,Dev5,7,5,5,155
method4,Dev1,4,5,3,150
method4,Dev2,8,7,6,150
method4,Dev3,8,8,5,150
method4,Dev4,5,6,2,150
method4,Dev5,8,4,2,150
method5,Dev1,9,10,1,100
method5,Dev2,8,10,1,100
method5,Dev3,10,10,1,100
method5,Dev4,10,10,2,100
method5,Dev5,10,10,2,100
method6,Dev1,10,9,1,105
method6,Dev2,7,10,2,105
method6,Dev3,10,10,2,105
method6,Dev4,10,10,1,105
method6,Dev5,7,9,1,105
method7,Dev1,1,3,9,189
method7,Dev2,1,4,7,189
method7,Dev3,1,2,9,189
method7,Dev4,4,2,5,189
method7,Dev5,3,5,6,189
method8,Dev1,1,1,10,229
method8,Dev2,1,3,8,229
method8,Dev3,1,2,10,229
method8,Dev4,1,2,9,229
method8,Dev5,1,2,9,229
method9,Dev1,5,6,3,162
method9,Dev2,7,6,4,162
method9,Dev3,4,5,7,162
method9,Dev4,4,4,4,162
method9,Dev5,3,6,6,162
method10,Dev1,7,10,1,102
method10,Dev2,10,9,1,102
method10,Dev3,8,10,1,102
method10,Dev4,10,9,1,102
method10,Dev5,8,9,3,102
